Florida Cities by Population Rank,City,Population
603,Hernando Beach,"2,567"
604,Harlem,"2,564"
605,Roosevelt Gardens,"2,558"
606,Verona Walk,"2,550"
607,Meadow Oaks,"2,526"
608,Virginia Gardens,"2,515"
609,Winter Beach,"2,510"
610,Graceville,"2,467"
611,Eagle Lake,"2,453"
612,Chuluota,"2,452"
613,Campbell,"2,436"
614,Lake Placid,"2,433"
615,Grenelefe,"2,384"
616,Atlantis,"2,370"
617,Eatonville,"2,360"
618,Olga,"2,357"
619,Zephyrhills North,"2,342"
620,El Portal,"2,329"
621,Belleair Bluffs,"2,296"
622,Apalachicola,"2,257"
623,Chiefland,"2,230"
624,Redington Shores,"2,222"
625,Boulevard Gardens,"2,215"
626,Monticello,"2,201"
627,Polk City,"2,193"
628,Mangonia Park,"2,191"
629,Trenton,"2,178"
630,Eastpoint and East Bronson,"2,156"
631,Pine Air,"2,154"
632,Haverhill,"2,152"
633,Dunnellon,"2,092"
634,Heritage Pines and Wallace,"2,091"
635,Malone,"2,089"
636,Sewall's Point,"2,075"
637,Eglin AFB,"2,065"
638,Charlotte Park,"2,058"
639,Grove City,"2,042"
640,Cross City,"2,028"
641,Homosassa,"2,019"
642,Sneads,"2,005"
643,East Palatka,"1,999"
644,Burnt Store Marina,"1,998"
645,Tavernier,"1,994"
646,Pine Island Center,"1,986"
647,Pine Ridge CDP,"1,978"
648,Williston Highlands,"1,967"
649,Zolfo Springs and Bear Creek,"1,962"
650,Lake Butler city,"1,940"
651,Gotha,"1,911"
652,Punta Rassa,"1,909"
653,Cudjoe Key,"1,896"
654,Taft,"1,874"
655,Hill 'n Dale,"1,870"
656,Fort Denaud,"1,865"
657,Hawthorne,"1,862"
658,Glencoe,"1,853"
659,Quail Ridge,"1,847"
660,Oriole Beach,"1,824"
661,Lake Mary Jane,"1,808"
662,Wabasso Beach,"1,767"
663,Lacoochee,"1,759"
664,Oak Hill,"1,755"
665,Crooked Lake Park,"1,748"
666,Silver Lake,"1,735"
667,Roseland,"1,728"
668,Astatula,"1,723"
669,Weeki Wachee Gardens,"1,693"
670,Christmas,"1,682"
671,Havana,"1,680"
672,Keystone Heights,"1,663"
673,Baldwin,"1,643"
674,Holley,"1,634"
675,Key Vista,"1,631"
676,Buckhead Ridge,"1,607"
677,Pierson,"1,601"
678,Interlachen,"1,600"
679,Harlem Heights,"1,585"
680,Crescent City,"1,576"
681,Belleair Beach,"1,562"
682,Washington Park,"1,537"
683,Century,"1,534"
684,Lake Hamilton,"1,531"
685,Montverde,"1,529"
686,Ocean Ridge,"1,526"
687,Plantation Mobile Home Park,"1,519"
688,Redington Beach,"1,518"
689,Astor,"1,504"
690,Mexico Beach,"1,473"
691,Hillsboro Beach,"1,465"
692,Patrick AFB,"1,442"
693,Midway CDP,"1,440"
694,Inglis,"1,428"
695,North DeLand,"1,425"
696,North Redington Beach,"1,417"
697,Kenwood Estates,"1,414"
698,South Palm Beach,"1,400"
699,Babson Park,"1,399"
700,Cypress Quarters,"1,381"
701,Gretna and Black Hammock,"1,361"
702,Indian Shores,"1,354"
703,Bokeelia,"1,349"
704,Palmona Park,"1,321"
705,Gun Club Estates,"1,306"
706,Callahan,"1,302"
707,Schall Circle,"1,293"
708,Limestone Creek,"1,290"
709,Howey-in-the-Hills,"1,287"
710,Palm Shores,"1,272"
711,Paisley,"1,262"
712,Black Diamond,"1,259"
713,Archer and Tildenville,"1,252"
714,Five Points,"1,247"
715,Molino,"1,239"
716,Palm Beach Shores,"1,202"
717,St. Leo,"1,177"
718,San Antonio,"1,153"
719,Medley,"1,111"
720,Manasota Key,"1,101"
721,Pomona Park,"1,094"
722,Allentown,"1,064"
723,Franklin Park,"1,046"
724,Yalaha,"1,044"
725,Panacea,"1,029"
726,Center Hill,"1,023"
727,Anna Maria,"1,011"
728,North Key Largo,"1,009"
729,Crescent Beach,"1,008"
730,Navarre Beach,995
731,Mayo,979
732,Crystal Springs,969
733,Fanning Springs,965
734,DeLand Southwest,960
735,Bristol,952
736,Bradenton Beach,933
737,Lawtey,927
738,Grand Ridge,925
739,Shalimar,906
740,"Rio, Greenville, and Briny Breezes",893
741,Juno Ridge,884
742,Hastings,870
743,Masaryktown,867
744,Chumuckla,863
745,Lake Kathryn,858
746,Homestead Base,843
747,Bronson,838
748,White Springs,825
749,Altha,820
750,Webster,813
751,Hosford,799
752,Greenwood,797
753,Waverly,794
754,Steinhatchee,778
755,Fort White,777
756,Cottondale,768
757,Jupiter Island,759
758,Gulf Stream,752
759,Waldo,751
760,St. Lucie Village,749
761,Reddick,746
762,Melbourne Village,743
763,St. George Island,740
764,Duck Key,727
765,Cedar Key,724
766,Vernon,717
767,Pioneer and Garden Grove,709
768,Solana,706
769,Matlacha,705
770,Stacey Street,697
771,Branford,689
772,Paxton and Wabasso,681
773,Key Colony Beach,670
774,Harold,652
775,Wiscon,650
776,Seville,646
777,East Williston,635
778,Greensboro,628
779,Golden Beach,625
780,Glen St. Mary,620
781,Welaka and Lemon Grove,619
782,Pine Lakes,617
783,Jennings,615
784,Lake Mack-Forest Hills and Sorrento,608
785,Andrews,603
786,Worthington Springs,599
787,Penney Farms,598
788,Canal Point,595
789,Alford,592
790,Roeville,575
791,Micanopy,573
792,Sea Ranch Lakes,572
793,Yankeetown,568
794,Spring Lake,541
795,Bell,533
796,Paradise Heights,530
797,Laurel Hill,522
798,Ferndale,506
